"15","Davante Adams","WR","LV","34.6","5.1","-","-","-","9.1","38.1","26.8","28.3","14.6","20.1","15.1","29.1","21","7.7","37.7","13.6","21.5","300.9"
"16","Matt Ryan","QB","FA","24.9","28.5","12.4","12.4","7.9","31.6","17.5","18.9","23.4","-","7.3","14.9","12.9","10.3","27.8","19.9","22.7","18.3","293.4"
"17","Tyreek Hill","WR","MIA","13.1","19.3","18.7","14.4","16.8","4","14.5","23.8","28.6","-","21.5","51.4","11.8","24.6","14.4","8.5","-","19","285.4"
"18","Derek Carr","QB","NO","13.6","21.7","15.4","20.4","25","BYE","20.3","12.5","14","7.2","22.6","1.6","32.7","25.8","2.1","23.2","22.9","17.6","281.1"
"19","Ben Roethlisberger","QB","FA","22.1","19.2","19.2","-","21.4","11","15.6","15.3","25","29.3","17.7","13.5","19.2","15.5","7.7","25.5","-","18.5","277.2"
"20","Matthew Stafford","QB","LAR","17.2","17.2","18.5","23.3","-","13.3","18.4","23.4","10.4","23","7.6","17.1","27.1","14.4","15.3","0.7","23.6","16.9","270.6"
"21","Cam Newton","QB","FA","25.7","35.6","12.2","-","-","20","2.8","18.4","24.6","16.8","19.2","6","23.6","5.4","12.2","9.8","38","18","270"
"22","Stefon Diggs","WR","BUF","12.6","25.3","12.9","14.5","15.6","13.6","7.8","12.2","16.3","20.3","BYE","7.4","14.2","24.1","20.2","37","11.1","16.6","265.1"
"23","Travis Kelce","TE","KC","14","19.5","11.7","8.5","20.8","19","4.6","20.9","20.9","BYE","22.9","12.2","23.6","23.6","18.8","19.3","-","17.4","260.3"
"24","Baker Mayfield","QB","TB","10.9","16.3","14.3","15.2","17.6","7.3","30.8","7.8","-","5.4","7.1","18.4","29","31","21","8","16.2","16","256.1"
"25","Jared Goff","QB","DET","11.5","24","28.2","11.7","25.4","15.9","16.9","12.2","-","10.5","25","5","24.1","15.6","16.3","10.7","-","16.9","253"
"26","Teddy Bridgewater","QB","FA","19.4","10.7","14.6","27.2","20.8","11.4","19.2","13","28.3","20","-","14.9","-","20.4","16.9","9.6","5.7","16.8","252.2"
"27","Philip Rivers","QB","FA","16.8","11.9","12.7","11.2","7.6","25.7","-","22.3","8.1","16.3","22.4","18.8","19.2","17.8","17","11.8","11.4","15.7","251"
"28","David Montgomery","RB","DET","7.9","20.2","6.4","9.2","15.4","11.7","9.4","11.5","3.7","-","-","22.8","25.1","23","28.7","19.1","23.7","15.9","237.8"
"29","Calvin Ridley","WR","JAC","29.4","26.4","14.2","0","17.6","15.9","17.4","5.7","-","-","11.5","14","13.3","22.4","27.3","14.8","6.6","15.8","236.5"
"30","Aaron Jones","RB","GB","15.6","43.6","15.6","19.6","BYE","11.6","-","-","10.4","12","15.1","9.5","22.3","8.5","23.3","11.8","16.5","16.8","235.4"
"31","Jonathan Taylor","RB","IND","11.9","18","12.7","8.4","14.4","13.5","BYE","4.1","8.4","4.7","13.4","-","21","29.5","17.5","19.4","37.9","15.7","234.8"
"32","DeAndre Hopkins","WR","TEN","22.1","16.8","18.7","7.6","22.1","8.3","19.3","-","4.5","22.2","7.6","8","15.2","18.1","25.5","8.8","5.5","14.4","230.3"
"33","Justin Jefferson","WR","MIN","3.6","5.9","27","12.3","3.8","35.1","BYE","4.1","7.9","17.5","16.1","22.5","22.8","7.9","14.4","11.5","17.8","14.4","230.2"
"34","DK Metcalf","WR","SEA","17.5","17.2","17","12.6","24.3","BYE","3.3","34.1","20.3","3.8","12.1","22.7","10.5","15.1","6.8","8.9","3.6","14.4","229.8"
"35","James Robinson","RB","FA","9.5","19.5","27.9","12.7","7.5","13.3","29.7","-","15.9","12.2","10.4","24.4","19.8","10.3","12.8","-","-","16.1","225.9"
"36","Darren Waller","TE","NYG","7.5","22.5","1.9","11.3","13.3","-","14","5.2","10.7","5.2","18.3","4.3","38.5","11","25.5","13.7","22.2","14.1","225.1"
"37","Adam Thielen","WR","CAR","28","4.6","10.8","22.2","24.8","12.6","-","4.2","4.8","18.3","28.3","-","17.5","5.4","8.1","19.7","7.7","14.5","217"
"38","Drew Brees","QB","FA","14.4","15.5","23.5","16.5","22.1","-","23.7","19.6","22.7","6.9","-","-","-","-","20.4","10.1","20","18","215.5"
"39","Tyler Lockett","WR","SEA","13.2","16.2","32.5","4.9","6.4","BYE","45.5","5.3","6","9.1","17.2","3.8","9.3","7.7","5.4","5.9","27","13.5","215.4"
"40","Josh Jacobs","RB","LV","33.9","12","7.8","8.8","21.5","BYE","4.6","12.9","13.3","27.6","12.9","3.9","-","8.9","18.9","6.9","20.9","14.3","214.8"
"41","Mike Evans","WR","TB","6.7","19.9","13.2","21.7","12.6","1.5","4.7","14","8.4","16.7","13.4","18.5","BYE","7.1","14","35.1","6.1","13.4","213.6"
"42","Carson Wentz","QB","FA","15","14.4","23.5","22.4","19.4","29.4","28.8","10.6","-","8.7","16.4","19.8","5","-","-","-","-","17.8","213.4"
"43","A.J. Brown","WR","PHI","6.4","-","-","-","17.7","20.3","24.3","10.4","18.1","2.6","14.2","23.8","8.7","20.7","12.9","6.3","26.1","15.2","212.5"
"44","Allen Robinson II","WR","PIT","9.8","4.8","23.3","19.6","14","7.8","9","17.7","11.6","7.3","-","23.4","10.5","22.8","10.3","15.3","4.7","13.2","211.9"
"45","Robert Woods","WR","HOU","14.9","10.3","18.9","6.8","15.1","12","4","24.9","-","6.1","24.6","12.3","13.5","5.6","18.6","6.9","5.6","12.5","200.1"
"46","Nick Chubb","RB","CLE","5.1","25.8","23.5","4.3","-","-","-","-","BYE","18.6","11.4","25.1","17.1","23.3","13.6","15.1","16.8","16.6","199.7"
"47","Kareem Hunt","RB","FA","10.1","23.1","13.4","19.1","16.8","6.7","17.7","8.3","-","14.7","8.6","6.2","7.2","26","4.3","12.7","4.6","12.5","199.5"
"48","Ezekiel Elliott","RB","FA","26.2","19.2","14.8","16.5","23","8","5.6","7.8","7.9","-","18.4","2.4","11.5","6.9","-","15.9","13.6","13.2","197.7"
"49","Drew Lock","QB","SEA","13.1","-1.2","-","-","-","5.5","15","20.8","30.2","11","12.1","-","12.9","25.6","11","16.1","24.3","15.1","196.3"
"50","Keenan Allen","WR","LAC","5.7","13.1","23.7","10.2","9.9","BYE","17.5","17.2","20.8","11.4","26.5","14","7.3","15.7","2.1","-","-","13.9","195.1"
"51","Brandin Cooks","WR","DAL","3","12","3.8","0","26.1","17.3","9.5","-","15.8","6.9","10.5","11","9","-","8.9","23.6","34.1","12.8","191.5"
"52","Amari Cooper","WR","CLE","13.1","13","13.1","27.4","3.1","17.4","12","1","10","-","11.1","20.2","13.8","13.1","1.3","14.1","7.1","11.9","190.8"
"53","Daniel Jones","QB","NYG","19.4","8.7","9.1","11.1","8.2","14.9","21.7","18.2","12.9","22.2","BYE","10.4","-","3.1","-","14.4","15.9","13.6","190"
"54","Marvin Jones Jr.","WR","DET","7.5","10.3","6.6","1.4","BYE","1.8","10.5","17.4","11.8","19.6","7.1","7.8","21.6","6.8","22.2","3.4","34","11.9","189.8"
"55","JuJu Smith-Schuster","WR","NE","21.9","8.3","14.3","-","4.8","1.6","13","10.2","18.3","18.2","3.9","13.7","6.3","14.5","1","20.1","15.5","11.6","185.6"
"56","Antonio Gibson","RB","WAS","5.4","11.7","11.5","20.8","7.6","7.5","18.8","BYE","11","20.5","16.9","34.1","1.4","-","-","8.4","8.6","13.2","184.2"
"57","Chase Claypool","WR","CHI","5.7","16.3","2.9","-","39.1","16.1","0.3","10.7","11.3","19.3","13.9","8.2","4.8","3","6.3","7.4","18.6","11.5","183.9"
"58","Melvin Gordon III","RB","FA","14.1","15.4","5.8","24.8","-","-","11","7.7","3.2","4.6","18.4","3.1","14.7","10.6","22.1","7.9","19","12.2","182.4"
"59","CeeDee Lamb","WR","DAL","8.4","14.5","9.1","22.7","16.4","9.9","0.1","6.6","13.1","BYE","14.6","4.6","7.6","7.1","17","21.9","7.1","11.3","180.7"
"60","Terry McLaurin","WR","WAS","8.6","22","10.6","16.8","4.1","10.9","18.5","BYE","21","13.7","10.9","12.7","2.4","3.4","11.2","-","13.5","12","180.3"
"61","Kenyan Drake","RB","FA","13.5","10.5","8.4","3.5","12.7","28.4","4.6","-","-","9.4","14","22.8","12.8","15.5","5","12","6.6","12","179.7"
"62","Joe Burrow","QB","CIN","17.3","24.5","20.4","16.1","5.3","17.7","34.6","18.9","BYE","12.5","11.3","-","-","-","-","-","-","17.9","178.7"
"63","DJ Moore","WR","CHI","7.4","16","7.5","6.9","17.3","11.8","23.3","6.5","2.8","17.6","18.3","8.1","-","-","16.2","6.2","12.6","11.9","178.5"
"64","Diontae Johnson","WR","PIT","6.7","19.2","0.9","BYE","0.3","-","24.5","1.1","11.1","20.6","17.1","8.6","17.1","6","15.9","17.6","11.1","11.9","177.8"
"65","Mike Davis","RB","FA","0","11.5","19.1","19.6","25.4","10.5","6.1","8.2","6.2","6.4","14.9","9.4","-","23.8","7.1","8.8","-","11.8","177"
"66","Chosen Anderson","WR","MIA","22.4","13.4","8","13.9","15.5","9.7","10.4","7.3","10.8","4.1","8.1","17.4","-","13.7","3","13.4","5.5","11","176.6"
"67","Curtis Samuel","WR","WAS","6.8","4.9","7.2","6.3","8.9","-","14.3","19.4","22.3","2.7","17.4","10.2","-","12.5","6.8","18.3","15.6","11.6","173.6"
"68","Ronald Jones II","RB","DAL","9.2","9.7","8.3","15.8","14","25.1","10.1","4.6","3.3","24.3","2.4","16.8","-","14.9","-","-","13.8","12.3","172.3"
"69","Jason Sanders","K","MIA","4","11","7","18","22","6","BYE","4","14","14","10","12","14","10","2","15","9","10.8","172"
"70","Chris Carson","RB","FA","21.6","18.3","9.1","23.5","16.9","-","4.6","-","-","-","-","12.9","18.5","17.3","7.9","9.4","9.3","14.1","169.3"
"71","Younghoe Koo","K","ATL","9","17","8","-","13","20","2","13","12","BYE","13","21","12","6","11","2","9","11.2","168"
"72","D'Andre Swift","RB","PHI","9.8","9.7","2.4","13.2","-","25.8","12.8","3.8","11.2","23.4","-","-","-","13","20.2","7","14.5","12.8","166.8"
"73","Cole Beasley","WR","FA","7.8","9.5","13","10.7","8.3","12.5","16.7","3.4","5.4","22.4","-","8.3","23.5","6.6","15.2","3.2","-","11.1","166.5"
"74","Gardner Minshew II","QB","IND","20.8","25.5","10.2","21.9","19.8","18.6","19","-","-","-","-","-","-","13.3","15.9","-","-","18.4","165.2"
"75","David Johnson","RB","FA","18.4","6","11.6","10.2","11.3","13.4","14.4","-","1.6","-","-","-","10.4","-","18.8","27.4","19.5","13.6","163"
"76","Cooper Kupp","WR","LAR","6","10.5","21.2","15.2","9.1","2.6","8.9","16.5","BYE","7.5","20","5.1","11.3","11.8","6.4","10.6","-","10.8","162.7"
"77","William Fuller V","WR","FA","15.2","0","13.4","19.8","13.8","21.3","11","-","18.5","6.3","11","32.1","-","-","-","-","-","14.8","162.4"
"78","Mitch Trubisky","QB","PIT","24.3","15.2","12.6","BYE","-","-","-","0.3","-","-","-","20.7","13.3","25","14.5","24.6","11.3","16.2","161.7"
"78","Nyheim Hines","RB","BUF","23.3","0.9","8.1","4.7","4","5.2","-","19.7","4.8","26","6.8","13.5","10.7","9.5","6.4","8.4","9.7","10.1","161.7"
"80","Nelson Agholor","WR","BAL","8.8","2.4","4.2","12.4","13.7","-","19.2","0","12.5","1.3","17.8","7.9","5.8","18.5","6.9","24","6.2","10.1","161.6"
"81","Ryan Fitzpatrick","QB","FA","8.4","24.3","24.7","23.3","27.6","18","-","-","-","-","4.3","19.3","-","0","-","11.3","-","16.1","161.2"
"82","Tee Higgins","WR","CIN","0","5","18.5","11","8.2","15.7","16.3","11.4","BYE","19","4.1","12.9","8.1","7.4","4.6","18.9","0","10.1","161.1"
"83","J.K. Dobbins","RB","BAL","14.2","6.6","6.4","2.2","7","3.9","BYE","12.6","4.5","1.9","17.5","-","13.1","13.3","14.6","13.7","28","10.6","159.5"
"84","Corey Davis","WR","NYJ","13.6","11.1","9.4","-","-","-","12.5","22.8","0","9.2","13.8","8.5","29.7","2.9","19","0","6.4","11.4","158.9"
"85","Chris Godwin","WR","TB","10.9","-","14.9","-","-","7.3","19.3","-","5.6","12.2","14.8","13.7","BYE","3.5","11.6","16.9","27.8","13.2","158.5"
"86","Clyde Edwards-Helaire","RB","KC","19.8","10","15.9","10.6","9.5","18.9","12.8","4.6","10.9","BYE","20.2","4.4","-","11.6","8.8","-","-","12.2","158"
"87","Tyler Bass","K","BUF","9","7","5","6","5","6","23","6","15","18","BYE","11","10","8","12","8","8","9.8","157"
"88","Miles Sanders","RB","CAR","-","18.6","12.7","8.6","22.9","11.7","-","-","-","12.5","7.6","5.2","3.1","27.6","9.5","16.4","-","13","156.4"
"89","Daniel Carlson","K","LV","12","12","8","13","11","BYE","9","10","7","15","7","6","8","9","9","13","6","9.7","155"
"90","Taysom Hill","TE","NO","4.7","0.8","-0.8","1.9","7.3","BYE","0.6","13.5","9.9","2.5","24.2","18.5","23.6","19.9","6.3","10.5","11.1","9.7","154.6"
"91","Brandon Aiyuk","WR","SF","-","3.1","18.6","12.6","5.9","8.2","14.5","19.1","-","16.2","BYE","-","18","16.9","17.8","3.6","-","12.9","154.5"
"92","Marquise Brown","WR","ARI","12.6","6.7","2.3","10.6","16.8","7.7","-","6.8","5.3","2.4","0","16.5","12.4","12","12.8","10.5","18.6","9.6","154"
"93","Tyler Boyd","WR","CIN","5.3","16.7","17.5","12.9","6.2","10.4","22.2","16.6","BYE","7.1","13","3","13.7","6.8","0","-","1.7","10.2","153.1"
"94","Greg Zuerlein","K","NYJ","5","11","9","2","14","4","4","13","15","BYE","5","10","5","14","13","13","16","9.6","153"
"95","Jarvis Landry","WR","FA","8.6","6.1","5.6","12.8","10.8","5.5","8.5","7.2","-","4.4","3.6","24.3","16.4","8.7","15.6","-","13.9","10.1","152"
"96","J.D. McKissic","RB","FA","0.4","5.3","6.7","6.1","7.9","11.4","6.1","-","12.7","14.4","8.4","3.7","12.8","9.6","21.2","19.2","5.5","9.5","151.4"
"97","Los Angeles Rams","DST","LAR","4","7","4","11","12","0","15","5","BYE","13","5","15","11","21","2","6","20","9.4","151"
"98","Robert Tonyan","TE","CHI","0","9.5","13.5","30.8","-","4","4.2","10.4","1","4.8","12.9","15.2","11.9","12.1","9.3","2.2","8.8","9.4","150.6"
"99","Rodrigo Blankenship","K","TB","8","15","12","14","11","8","-","3","5","11","15","2","7","14","11","6","8","9.4","150"
"100","Pittsburgh Steelers","DST","PIT","8","13","7","BYE","8","18","2","18","7","12","17","14","3","6","2","9","4","9.3","148"
"101","James Conner","RB","ARI","2.7","19.1","22.9","-","13.8","16.7","12.6","13.5","3","5.8","11.4","-","-","1.8","-","15.1","8.7","11.3","147.1"
"102","Russell Gage","WR","TB","15.9","13.6","3.6","3","2.6","8.5","8.4","3.5","2.1","-","9.3","4.9","13.1","16.3","15.3","4.3","20.7","9.1","145.1"
"103","Sam Darnold","QB","SF","12.2","11.9","9.7","23.6","-","-","2.8","7.4","-","-","BYE","6.8","21","5.6","14.1","17","12.9","12.1","145"
"103","Indianapolis Colts","DST","IND","4","15","26","7","11","4","BYE","15","5","10","8","-3","12","12","10","0","9","9.1","145"
"103","Ryan Succop","K","FA","5","7","9","8","14","10","9","15","4","17","6","6","-","9","7","5","14","9.1","145"
"103","Justin Tucker","K","BAL","9","16","9","8","10","16","BYE","8","7","5","10","2","10","9","9","9","8","9.1","145"
"107","Andy Dalton","QB","CAR","-","0","-","-","2.4","13","3.6","-","-","-","19.8","13.3","18.6","15.3","17.2","27.6","13.6","13.1","144.4"
"108","Michael Gallup","WR","DAL","6.5","6.8","22.8","3.9","9.3","3.3","0","9.6","5.1","BYE","3.9","7.1","18.1","3.3","10.1","27.1","6.9","9","143.8"
"109","Myles Gaskin","RB","MIA","8.6","11.2","12","7.7","17.6","14.6","BYE","11.8","-","-","-","-","13.1","-","-","31.4","15.7","14.4","143.7"
"110","Jamison Crowder","WR","NYG","21","-","-","13.9","21.6","8.3","-","-","9.6","-","2.1","4.6","19.2","1.7","9.6","25.8","5.1","11.9","142.5"
"111","T.J. Hockenson","TE","MIN","14.1","8.2","7.3","9.9","-","8.7","14.4","10","12.4","2.3","8.8","11.4","11.9","13.3","0.8","4.3","4","8.9","141.8"
"112","Chase Edmonds","RB","TB","12","2.8","4.4","12.5","17.7","3.4","18","-","10.3","9.2","12.9","6.3","5.3","7.3","14.1","1.8","3.5","8.8","141.5"
"113","Mark Andrews","TE","BAL","20.3","3.4","3.7","19.2","14.6","3.1","BYE","4.7","3.7","9.6","18.1","-","-","10.3","15.1","10.6","4.7","10.1","141.1"
"114","Miami Dolphins","DST","MIA","2","2","12","3","12","15","BYE","23","8","6","5","14","14","10","9","5","1","8.8","141"
"114","Baltimore Ravens","DST","BAL","15","15","7","6","26","7","BYE","4","14","1","3","8","4","0","10","10","11","8.8","141"
"116","Logan Thomas","TE","WAS","11.7","4.6","5.1","1.3","0.9","11.7","14","BYE","4.3","8.6","1.8","11.4","20.3","7.3","16.6","9.8","11.2","8.8","140.6"
"117","Tua Tagovailoa","QB","MIA","-","-","-","-","-","0.4","BYE","5.7","21.4","14.7","7.3","-","16.1","28","19.7","8.9","18.2","14","140.5"
"118","Dak Prescott","QB","DAL","17.6","39.8","29.5","38.3","13.9","-","-","-","-","BYE","-","-","-","-","-","-","-","27.8","139.1"
"119","Cairo Santos","K","CHI","9","5","6","3","9","13","5","14","5","8","BYE","5","7","10","18","12","10","8.7","139"
"120","Austin Ekeler","RB","LAC","9.2","16.8","25.8","1.9","-","BYE","-","-","-","-","-","18.4","8.8","19.1","9.9","14.3","14.1","13.8","138.3"
"121","Jason Myers","K","SEA","9","5","4","9","3","BYE","12","8","12","12","9","12","4","11","10","10","8","8.6","138"
"122","T.Y. Hilton","WR","FA","7.3","4.3","6.7","4.4","9.9","1.6","-","1.9","-","6","5.1","16.1","21","23.1","9.1","7.5","12.2","9.1","136.2"
"123","Brandon McManus","K","JAC","2","8","6","18","-","24","5","7","11","8","9","5","6","2","-","14","11","9.1","136"
"124","Jeff Wilson Jr.","RB","MIA","0","0.3","20.4","2.4","2.7","-","31","-","-","-","-","2","6.9","8.9","12","26.9","22.3","11.3","135.8"
"125","Tim Patrick","WR","DEN","4.9","3.4","12.3","20.3","BYE","12.1","5.9","-","10.9","8.1","14.4","0","18.4","11.1","2.9","5.4","5.6","9","135.7"
"126","Wil Lutz","K","NO","10","6","13","5","15","BYE","11","14","8","10","6","8","3","3","3","10","10","8.4","135"
"127","DeVante Parker","WR","NE","6.7","13.8","9.4","16","12","5","-","6.8","9.4","4.1","15.1","15.9","5.5","0","-","-","15.1","9.6","134.8"
"128","Giovani Bernard","RB","FA","4.8","5","7","1.9","0.9","10.3","18.1","21.3","-","6.7","7.5","5.9","3.9","1.8","22.2","16.6","0.7","8.4","134.6"
"129","Emmanuel Sanders","WR","FA","9","2.3","13.6","12.3","18.2","-","-","-","11.8","1","8.6","0.9","6.4","12.3","9.6","11.5","16.8","9.6","134.3"
"130","Harrison Butker","K","KC","10","13","4","8","6","8","14","5","11","BYE","5","9","17","8","6","7","3","8.4","134"
"131","Graham Gano","K","NYG","4","7","13","9","20","8","3","5","13","10","BYE","15","4","1","6","8","7","8.3","133"
"132","Mike Gesicki","TE","NE","4.5","23","8","2","11.6","0","-","1.3","5.7","5","6.3","10.5","19.3","21","-","7.4","7.2","8.9","132.8"
"133","Ka'imi Fairbairn","K","HOU","2","12","3","13","13","6","8","BYE","11","1","10","10","10","1","8","7","17","8.3","132"
"134","Jerry Jeudy","WR","DEN","7.6","8.2","8","13.1","BYE","4.2","3","9.3","22","8.8","5.2","0","1","5.2","2.4","9.1","24.5","8.2","131.6"
"135","Mike Williams","WR","LAC","8.9","2.4","2.2","-","25.4","BYE","0.9","18.5","10.6","4.8","15.2","4.1","6.3","0","3.2","7.4","19.8","8.6","129.7"
"136","Sterling Shepard","WR","NYG","7.7","4.5","-","-","-","-","14.9","11.4","8.7","7.7","BYE","10.3","4.7","5","6.8","18.2","29.6","10.8","129.5"
"137","Joey Slye","K","WAS","12","5","15","7","11","11","7","5","8","6","10","10","-","9","10","2","1","8.1","129"
"138","Nick Mullens","QB","MIN","-","1.6","17.7","8","-","-","BYE","17.5","12.6","12.2","-","9.1","22.6","13.4","13.5","-","-","12.8","128.3"
"139","Laviska Shenault Jr.","WR","CAR","12.2","8.7","5.9","11.6","11.4","2.6","5.9","-","0.4","-","-","5.2","14.3","8.1","6.9","13.3","21.6","9.2","128.1"
"140","Dustin Hopkins","K","LAC","10","3","2","6","5","7","5","-","10","10","10","11","14","13","4","8","10","8","128"
"141","Keelan Cole Sr.","WR","LV","13.2","14.8","6.3","6.6","9.7","17.3","1.7","-","1.1","19.2","3.6","5.9","1.2","16.2","3.2","4.1","3.8","8","127.9"
"142","DJ Chark Jr.","WR","CAR","10","10.4","-","25.5","3.1","8","3.1","-","24.1","7.6","6.1","-","5.1","2.6","7.3","14.2","-","9.8","127.1"
"143","Washington Commanders","DST","WAS","15","4","1","4","2","4","17","BYE","5","0","12","15","3","23","3","9","10","7.9","127"
"144","Rob Gronkowski","TE","FA","2.1","0","7.8","3.4","6.7","16.3","14.7","12.1","0.7","12.1","3.5","13.6","-","6.7","4.4","18.8","3.9","7.9","126.8"
"145","Wayne Gallman Jr.","RB","FA","1.9","-","2.4","4.5","3.4","0","13.9","12.7","14.2","18.5","-","16.6","13.5","8.8","2.9","6.3","6.5","8.4","126.1"
"146","New Orleans Saints","DST","NO","17","4","-3","4","3","BYE","1","7","16","14","16","14","6","2","7","1","17","7.9","126"
"147","Latavius Murray","RB","BUF","4.8","4.3","7","20.8","6.7","-","6.1","4.6","5.2","5.7","9.5","25.1","2.7","1.2","9.9","11.1","-","8.3","124.7"
"148","Devin Singletary","RB","HOU","7.8","8.6","14.1","16.2","3.8","5","5.7","9.7","4.9","1.5","-","9.7","9.8","3.9","15.9","6.2","1.8","7.8","124.6"
"149","Gus Edwards","RB","BAL","1.7","7.3","3.9","3.8","2.5","8.6","BYE","14.7","8.4","7.8","0.6","7","10.1","17.8","8.8","13.2","7.5","7.7","123.7"
"150","Nick Folk","K","NE","3","6","12","5","BYE","7","8","8","15","5","9","10","9","3","15","4","4","7.7","123"
"151","Christian Kirk","WR","JAC","0.5","7","-","9.4","10.3","21.6","18.2","BYE","20.8","4.7","7","3.4","0.7","2.9","4.8","11.1","-","8.7","122.4"
"152","Darrell Henderson Jr.","RB","FA","0.6","19.1","18.5","4.2","20.3","9.2","8.6","6.3","-","9.8","1.9","1.9","14.4","0.5","0.8","6.2","-","8.2","122.3"
"153","Darnell Mooney","WR","CHI","5.3","11.1","2.9","7.4","2.5","5.1","5.5","15.4","6.8","1.3","BYE","6.9","6.3","9.7","14.5","6.1","14.8","7.6","121.6"
"154","Hayden Hurst","TE","CAR","5.3","15.7","6.6","7.1","1.8","13.7","9.8","7.9","9.7","-","0","6.8","1.4","1.2","10.1","13.2","10.8","7.6","121.1"
"155","Marquez Valdes-Scantling","WR","KC","17.6","7.9","1","6.5","-","4.7","0.9","2.8","18.3","22.9","5","0","-0.4","17.5","0","0","16.1","7.6","120.8"
"156","Julio Jones","WR","FA","20.2","3.4","-","5.2","-","29.7","13.7","17.2","13.9","-","4.9","-","12.4","-","-","-","-","13.4","120.6"
"157","Mason Crosby","K","FA","12","11","16","7","-","4","5","2","12","6","7","5","7","9","8","4","5","7.5","120"
"157","Michael Badgley","K","DET","11","9","5","9","3","-","9","15","9","3","11","3","0","9","6","14","4","7.5","120"
"159","Jonnu Smith","TE","ATL","11.6","22.4","8.6","-","18.5","1.8","1.4","3.9","10.2","8.5","10","0","-","3.3","7.7","10.5","1.3","8","119.7"
"160","Gabe Davis","WR","BUF","2.6","7.1","10.1","9.1","8.3","1.2","1.6","0","15","0","BYE","15.4","14.3","9.4","2.8","4.8","17.7","7.5","119.4"
"161","Tampa Bay Buccaneers","DST","TB","0","14","18","6","6","19","6","7","1","5","4","4","BYE","9","3","12","5","7.4","119"
"161","Stephen Gostkowski","K","FA","4","12","25","-","6","4","8","2","7","7","12","10","3","9","8","2","-","7.9","119"
"163","Jimmy Graham","TE","FA","10","2.3","21","5.3","10.8","5.9","5.6","2.3","14.5","0","-","4.7","0","10.3","3.5","20.9","1.5","7.4","118.6"
"164","Adrian Peterson","RB","FA","12.9","4.1","9","9.6","-","12.3","3.5","1.7","5.8","3.5","1.8","17.5","17.7","3.5","2.3","1","12.3","7.4","118.5"
"165","Noah Fant","TE","SEA","16.6","15.7","7.1","6","-","BYE","5.3","8.2","6","3.3","7.5","1.8","7.7","0","16.8","9.5","6.8","7.9","118.3"
"166","Buffalo Bills","DST","BUF","8","2","5","6","-4","3","14","4","12","6","BYE","6","4","12","12","7","21","7.4","118"
"167","Matt Prater","K","ARI","12","3","14","3","-","11","16","3","9","16","0","5","4","6","7","1","7","7.3","117"
"168","Darius Slayton","WR","NYG","25.2","4.8","4.8","6.3","16.9","10.8","3.3","8.1","1.3","11.8","BYE","0","1.9","4.6","9.4","3.6","3.2","7.3","116"
